run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking
44	1.0	0.0	0.0	2	1	20	300	100	0.01	True
45	0.0	1.0	0.0	2	1	20	300	100	0.01	True
46	0.0	1.0	0.0	2	1	20	300	100	0.01	True
47	0.0	0.0	1.0	2	1	20	300	100	0.01	True
48	0.0	1.0	0.0	2	1	20	300	100	0.01	True
49	0.0	0.0	1.0	2	1	20	300	100	0.01	True
50	1.0	0.0	0.0	2	1	20	300	100	0.01	True
51	1.0	0.0	0.0	2	1	20	300	100	0.01	True
52	1.0	0.0	0.0	2	1	20	300	100	0.01	True
53	0.0	0.0	1.0	2	1	20	300	100	0.01	True
54	1.0	0.0	0.0	2	1	20	300	100	0.01	True
55	1.0	0.0	0.0	2	1	20	300	100	0.01	True
56	0.0	1.0	0.0	2	1	20	300	100	0.01	True
57	0.0	1.0	0.0	2	1	20	300	100	0.01	True
58	0.0	1.0	0.0	2	1	20	300	100	0.01	True
59	1.0	0.0	0.0	2	1	20	300	100	0.01	True
60	1.0	0.0	0.0	2	1	20	300	100	0.01	True
61	0.0	0.0	1.0	2	1	20	300	100	0.01	True
62	0.0	1.0	0.0	2	1	20	300	100	0.01	True
63	0.0	0.0	1.0	2	1	20	300	100	0.01	True
64	0.0	1.0	0.0	2	1	20	300	100	0.01	True
65	1.0	0.0	0.0	2	1	20	300	100	0.01	True
66	0.0	0.0	1.0	2	1	20	300	100	0.01	True
67	0.0	1.0	0.0	2	1	20	300	100	0.01	True
68	0.0	0.0	1.0	2	1	20	300	100	0.01	True
69	1.0	0.0	0.0	2	1	20	300	100	0.01	True
70	1.0	0.0	0.0	2	1	20	300	100	0.01	True
71	0.0	0.0	1.0	2	1	20	300	100	0.01	True
72	1.0	0.0	0.0	2	1	20	300	100	0.01	True
73	1.0	0.0	0.0	2	1	20	300	100	0.01	True
74	0.0	1.0	0.0	2	1	20	300	100	0.01	True
75	1.0	0.0	0.0	2	1	20	300	100	0.01	True
76	0.0	0.0	1.0	2	1	20	300	100	0.01	True
77	1.0	0.0	0.0	2	1	20	300	100	0.01	True
78	0.0	1.0	0.0	2	1	20	300	100	0.01	True
79	0.0	1.0	0.0	2	1	20	300	100	0.01	True
80	1.0	0.0	0.0	2	1	20	300	100	0.01	True
81	1.0	0.0	0.0	2	1	20	300	100	0.01	True
82	0.0	1.0	0.0	2	1	20	300	100	0.01	True
83	0.0	1.0	0.0	2	1	20	300	100	0.01	True
84	0.0	0.0	1.0	2	1	20	300	100	0.01	True
85	0.0	1.0	0.0	2	1	20	300	100	0.01	True
86	1.0	0.0	0.0	2	1	20	300	100	0.01	True
87	1.0	0.0	0.0	2	1	20	300	100	0.01	True
88	0.0	1.0	0.0	2	1	20	300	100	0.01	True
89	0.0	1.0	0.0	2	1	20	300	100	0.01	True
90	0.0	1.0	0.0	2	1	20	300	100	0.01	True
91	0.0	1.0	0.0	2	1	20	300	100	0.01	True
92	1.0	0.0	0.0	2	1	20	300	100	0.01	True
93	0.0	1.0	0.0	2	1	20	300	100	0.01	True
94	0.0	0.0	1.0	2	1	20	300	100	0.01	True
95	0.0	0.0	1.0	2	1	20	300	100	0.01	True
96	0.0	1.0	0.0	2	1	20	300	100	0.01	True
97	1.0	0.0	0.0	2	1	20	300	100	0.01	True
98	0.0	1.0	0.0	2	1	20	300	100	0.01	True
99	0.0	1.0	0.0	2	1	20	300	100	0.01	True
0	1.0	0.0	0.0	2	1	20	300	100	0.01	False
1	1.0	0.0	0.0	2	1	20	300	100	0.01	False
2	0.0	1.0	0.0	2	1	20	300	100	0.01	False
3	1.0	0.0	0.0	2	1	20	300	100	0.01	False
4	0.0	0.0	1.0	2	1	20	300	100	0.01	False
5	0.0	0.0	1.0	2	1	20	300	100	0.01	False
6	1.0	0.0	0.0	2	1	20	300	100	0.01	False
7	0.0	0.0	1.0	2	1	20	300	100	0.01	False
8	1.0	0.0	0.0	2	1	20	300	100	0.01	False
9	1.0	0.0	0.0	2	1	20	300	100	0.01	False
10	0.0	1.0	0.0	2	1	20	300	100	0.01	False
11	0.0	0.0	1.0	2	1	20	300	100	0.01	False
12	0.0	1.0	0.0	2	1	20	300	100	0.01	False
13	1.0	0.0	0.0	2	1	20	300	100	0.01	False
14	0.0	0.0	1.0	2	1	20	300	100	0.01	False
15	0.0	0.0	1.0	2	1	20	300	100	0.01	False
16	1.0	0.0	0.0	2	1	20	300	100	0.01	False
17	1.0	0.0	0.0	2	1	20	300	100	0.01	False
18	0.0	1.0	0.0	2	1	20	300	100	0.01	False
19	0.0	0.0	1.0	2	1	20	300	100	0.01	False
20	0.0	1.0	0.0	2	1	20	300	100	0.01	False
21	0.0	0.0	1.0	2	1	20	300	100	0.01	False
22	1.0	0.0	0.0	2	1	20	300	100	0.01	False
23	0.0	1.0	0.0	2	1	20	300	100	0.01	False
24	0.0	1.0	0.0	2	1	20	300	100	0.01	False
25	0.0	0.0	1.0	2	1	20	300	100	0.01	False
26	1.0	0.0	0.0	2	1	20	300	100	0.01	False
27	0.0	0.0	1.0	2	1	20	300	100	0.01	False
28	0.0	0.0	1.0	2	1	20	300	100	0.01	False
29	1.0	0.0	0.0	2	1	20	300	100	0.01	False
30	1.0	0.0	0.0	2	1	20	300	100	0.01	False
31	0.0	1.0	0.0	2	1	20	300	100	0.01	False
32	1.0	0.0	0.0	2	1	20	300	100	0.01	False
33	1.0	0.0	0.0	2	1	20	300	100	0.01	False
34	1.0	0.0	0.0	2	1	20	300	100	0.01	False
35	0.0	0.0	1.0	2	1	20	300	100	0.01	False
36	0.0	1.0	0.0	2	1	20	300	100	0.01	False
37	0.0	0.0	1.0	2	1	20	300	100	0.01	False
38	1.0	0.0	0.0	2	1	20	300	100	0.01	False
39	0.0	1.0	0.0	2	1	20	300	100	0.01	False
40	0.0	0.0	1.0	2	1	20	300	100	0.01	False
41	1.0	0.0	0.0	2	1	20	300	100	0.01	False
42	0.0	0.0	1.0	2	1	20	300	100	0.01	False
43	0.0	1.0	0.0	2	1	20	300	100	0.01	False
44	1.0	0.0	0.0	2	1	20	300	100	0.01	False
45	0.0	1.0	0.0	2	1	20	300	100	0.01	False
46	0.0	1.0	0.0	2	1	20	300	100	0.01	False
47	0.0	1.0	0.0	2	1	20	300	100	0.01	False
48	0.0	1.0	0.0	2	1	20	300	100	0.01	False
49	0.0	0.0	1.0	2	1	20	300	100	0.01	False
50	1.0	0.0	0.0	2	1	20	300	100	0.01	False
51	0.0	0.0	1.0	2	1	20	300	100	0.01	False
52	1.0	0.0	0.0	2	1	20	300	100	0.01	False
53	0.0	0.0	1.0	2	1	20	300	100	0.01	False
54	0.0	1.0	0.0	2	1	20	300	100	0.01	False
55	1.0	0.0	0.0	2	1	20	300	100	0.01	False
56	0.0	0.0	1.0	2	1	20	300	100	0.01	False
57	1.0	0.0	0.0	2	1	20	300	100	0.01	False
58	0.0	1.0	0.0	2	1	20	300	100	0.01	False
59	1.0	0.0	0.0	2	1	20	300	100	0.01	False
60	1.0	0.0	0.0	2	1	20	300	100	0.01	False
61	0.0	1.0	0.0	2	1	20	300	100	0.01	False
62	1.0	0.0	0.0	2	1	20	300	100	0.01	False
63	1.0	0.0	0.0	2	1	20	300	100	0.01	False
64	0.0	0.0	1.0	2	1	20	300	100	0.01	False
65	0.0	0.0	1.0	2	1	20	300	100	0.01	False
66	0.0	1.0	0.0	2	1	20	300	100	0.01	False
67	0.0	1.0	0.0	2	1	20	300	100	0.01	False
68	0.0	0.0	1.0	2	1	20	300	100	0.01	False
69	1.0	0.0	0.0	2	1	20	300	100	0.01	False
70	0.0	1.0	0.0	2	1	20	300	100	0.01	False
71	1.0	0.0	0.0	2	1	20	300	100	0.01	False
72	0.0	1.0	0.0	2	1	20	300	100	0.01	False
73	0.0	0.0	1.0	2	1	20	300	100	0.01	False
74	0.0	1.0	0.0	2	1	20	300	100	0.01	False
75	1.0	0.0	0.0	2	1	20	300	100	0.01	False
76	0.0	0.0	1.0	2	1	20	300	100	0.01	False
77	1.0	0.0	0.0	2	1	20	300	100	0.01	False
78	1.0	0.0	0.0	2	1	20	300	100	0.01	False
79	0.0	1.0	0.0	2	1	20	300	100	0.01	False
80	0.0	1.0	0.0	2	1	20	300	100	0.01	False
81	0.0	1.0	0.0	2	1	20	300	100	0.01	False
82	0.0	0.0	1.0	2	1	20	300	100	0.01	False
83	1.0	0.0	0.0	2	1	20	300	100	0.01	False
84	1.0	0.0	0.0	2	1	20	300	100	0.01	False
85	0.0	1.0	0.0	2	1	20	300	100	0.01	False
86	0.0	1.0	0.0	2	1	20	300	100	0.01	False
87	0.0	0.0	1.0	2	1	20	300	100	0.01	False
88	0.0	1.0	0.0	2	1	20	300	100	0.01	False
89	0.0	1.0	0.0	2	1	20	300	100	0.01	False
90	0.0	0.0	1.0	2	1	20	300	100	0.01	False
91	0.0	0.0	1.0	2	1	20	300	100	0.01	False
92	0.0	1.0	0.0	2	1	20	300	100	0.01	False
93	0.0	0.0	1.0	2	1	20	300	100	0.01	False
94	0.0	0.0	1.0	2	1	20	300	100	0.01	False
95	1.0	0.0	0.0	2	1	20	300	100	0.01	False
96	0.0	0.0	1.0	2	1	20	300	100	0.01	False
97	0.0	1.0	0.0	2	1	20	300	100	0.01	False
98	0.0	0.0	1.0	2	1	20	300	100	0.01	False
99	1.0	0.0	0.0	2	1	20	300	100	0.01	False
0	0.0	1.0	0.0	2	1	20	300	100	0.05	True
1	0.0	1.0	0.0	2	1	20	300	100	0.05	True
2	0.0	0.0	1.0	2	1	20	300	100	0.05	True
3	1.0	0.0	0.0	2	1	20	300	100	0.05	True
4	0.0	0.0	1.0	2	1	20	300	100	0.05	True
5	1.0	0.0	0.0	2	1	20	300	100	0.05	True
6	0.0	0.0	1.0	2	1	20	300	100	0.05	True
7	1.0	0.0	0.0	2	1	20	300	100	0.05	True
8	0.0	1.0	0.0	2	1	20	300	100	0.05	True
9	1.0	0.0	0.0	2	1	20	300	100	0.05	True
