run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking	probScale	initialQuestionBoost	capMaxCost	particleDiscount	initialTypeDist
0	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
1	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
2	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
3	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
4	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
5	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
6	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
7	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
8	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
9	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
10	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
11	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
12	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
13	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
14	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
15	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
16	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
17	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
18	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
19	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
20	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
21	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
22	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
23	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
24	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
25	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
26	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
27	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
28	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
29	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
30	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
31	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
32	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
33	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
34	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
35	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
36	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
37	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
38	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
39	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
40	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
41	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
42	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
43	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
44	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
45	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
46	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
47	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
48	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
49	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.333333333333_0.333333333333_0.333333333333
run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking	probScale	initialQuestionBoost	capMaxCost	particleDiscount	initialTypeDist
0	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
1	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
2	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
3	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
4	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
5	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
6	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
7	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
8	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
9	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
10	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
11	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
12	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
13	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
14	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
15	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
16	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
17	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
18	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
19	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
20	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
21	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
22	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
23	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
24	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
25	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
26	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
27	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
28	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
29	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
30	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
31	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
32	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
33	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
34	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
35	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
36	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
37	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
38	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
39	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
40	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
41	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
42	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
43	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
44	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
45	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
46	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
47	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
48	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
49	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.4_0.3_0.3
run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking	probScale	initialQuestionBoost	capMaxCost	particleDiscount	initialTypeDist
0	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
1	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
2	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
3	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
4	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
5	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
6	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
7	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
8	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
9	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
10	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
11	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
12	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
13	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
14	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
15	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
16	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
17	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
18	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
19	0.0	0.0	1.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
20	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
21	1.0	0.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
22	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
23	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
24	0.0	1.0	0.0	10	1	20	300	50	0.05	False	2	False	False	0.5	0.3_0.4_0.3
